risk_taking;score;rank
0.5762047554687558;90;3
0.5707802850078606;88;4
0.7194900430175399;60;5
0.49153666758844006;34;6
0.6638607161286786;100;1
0.690823515238082;90;2
0.7493456543231027;90;3
0.4977403640026485;52;4
0.5292954217202867;40;5
0.5409215177689579;24;6
0.6906958003140197;88;1
0.7092303318599613;86;2
0.5666320679825746;72;3
0.5635351299077731;58;4
0.5723999343380681;56;5
0.539308551692191;36;6
0.7461568274765227;104;1
0.619043360630129;102;2
0.6318048230379266;76;3
0.645193689712597;68;4
0.5162468553894811;62;5
0.5235487781064656;58;6
0.7221323703204576;98;1
0.4998542075991552;76;2
0.5126502404995349;74;3
0.5711253764157167;64;4
0.6171790518194706;64;5
0.5393666440751037;40;6
0.6487225508534947;80;1
0.5529602278779526;72;2
0.7057823266447781;70;3
0.5444670613517717;64;4
0.5919276457157667;56;5
0.49787245812673975;54;6
0.5559361468824067;92;1
0.5908659202946053;90;2
0.7363284691543599;84;3
0.7413241346265894;82;4
0.6329956971919539;78;5
0.7114720549426277;62;6
0.7172378260905233;92;1
0.4908962013304227;74;2
0.5967915460707987;74;3
0.5133266196718964;66;4
0.5192768227630163;60;5
0.5898100455725946;34;6
0.7235246377792586;110;1
0.6040447701541592;102;2
0.6131290059887772;78;3
0.5139417054147735;62;4
0.7217987333322461;60;5
0.5423109398850904;42;6
0.6807444200836106;116;1
0.7159409977256395;74;2
0.492687406807621;74;3
0.7428516047569871;70;4
0.5381879987864672;62;5
0.5496130079312529;44;6
0.7454544074241871;114;1
0.7355068020843343;110;2
0.7266399820475814;92;3
0.6020851960900307;88;4
0.5989224490142495;86;5
0.7166525263830779;56;6
0.6809895144581203;116;1
0.6768394864851952;114;2
0.7460543680215861;78;3
0.5031363186523132;54;4
0.638306946306435;52;5
0.5604468200965965;50;6
0.630035324516931;110;1
0.6774538811581565;102;2
0.6803140373583403;88;3
0.6580049818887512;74;4
0.6646604873151662;74;5
0.5308356020030764;68;6
0.6769679670065976;96;1
0.5911287994065217;92;2
0.6097141983968507;74;3
0.6690107863023946;72;4
0.545419117781495;60;5
0.5617383775478515;50;6
0.5553422555012998;118;1
0.5259790397736828;88;2
0.7119666335492826;70;3
0.5298444495254175;66;4
0.6746556025227076;60;5
0.6466537958593817;58;6
0.6553650504830375;102;1
0.6589025783750706;96;2
0.6807019037227587;88;3
0.7085288574378057;82;4
0.7263631396920345;82;5
0.5853577682112887;74;6
0.5547437353595432;94;1
0.7447160358373468;80;2
0.5304110350031491;78;3
0.5050588108220476;62;4
0.7158292903898693;38;5
0.6664973833094214;34;6
0.5337092090667448;126;1
0.5110744702697707;124;2
0.5851243511207053;104;3
0.5332394951377655;76;4
0.49230954026150503;72;5
0.6100108368534531;62;6
0.6002675470217169;106;1
0.5256983947045544;76;2
0.5464492010363424;54;3
0.49934311452994196;52;4
0.49615856331385083;40;5
0.5486837341111548;36;6
0.669883038443349;100;1
0.614922926845791;60;2
0.5408457818439169;60;3
0.5452096266190504;60;4
0.5990229752638626;50;5
0.4932297045098454;38;6
0.5416716006258362;108;1
0.5027141706116112;98;2
0.4900460735354721;92;3
0.6440633908019721;80;4
0.6532633306326389;50;5
0.6340313954204948;32;6
0.7350783346190135;100;1
0.6914422801001052;70;2
0.6367482569304286;66;3
0.5690156954232827;58;4
0.5580899529499637;52;5
0.5156071783645748;36;6
0.7318907397788865;102;1
0.6778524943861006;96;2
0.6528955371117026;80;3
0.5715530417709196;66;4
0.5888345427817671;50;5
0.7457392195215047;46;6
0.66791568073357;128;1
0.5231971917379862;90;2
0.5248045572210791;78;3
0.7305383001905089;76;4
0.5396226405525348;60;5
0.5335042408382956;36;6
0.5737426320211604;108;1
0.5864302813905568;84;2
0.4974407228434721;78;3
0.5981485634490946;76;4
0.6654989222795291;60;5
0.491443509600104;56;6
0.6964497563351864;104;1
0.7249234642207865;104;2
0.646231237164784;82;3
0.6882152151609795;70;4
0.6060012115703686;52;5
0.5377425878302555;34;6
0.6761032118889053;130;1
0.6756065704116765;88;2
0.6613075054817044;78;3
0.7476946329532952;72;4
0.7408006460682904;58;5
0.4924398509931752;20;6
0.7210749622970772;120;1
0.6394744219914197;86;2
0.7282440802335206;84;3
0.6211242740105258;68;4
0.5742288545192722;60;5
0.6573799695309547;50;6
0.6855403389135855;88;1
0.6560853253118684;70;2
0.6589510291580953;64;3
0.4956771002456706;40;4
0.5000897037784457;30;5
0.5103860054656926;6;6
